res1=0.739613 ; res2=0.169889
res1=0.782849 ; res2=0.106636
res1=0.915741 ; res2=0.0552328
res1=0.313867 ; res2=0.506519
res1=0.998279 ; res2=0.0843541
res1=0.385924 ; res2=0.602576
res1=0.921215 ; res2=0.511103
res1=0.869556 ; res2=0.00771195
res1=1.02481 ; res2=0.517044
res1=0.517204 ; res2=-0.0442203
res1=0.242596 ; res2=0.132792
res1=0.132189 ; res2=-0.356915
res1=0.933387 ; res2=0.809375
res1=0.330736 ; res2=-0.679576
res1=0.626202 ; res2=-0.0232298
res1=0.0925688 ; res2=-0.00204652
res1=0.593793 ; res2=-0.280144
res1=0.571032 ; res2=-0.32631
res1=0.576736 ; res2=0.000453753
res1=0.0992405 ; res2=-0.0175674
res1=0.191427 ; res2=-0.0884192
res1=0.0813507 ; res2=-0.0802207
res1=0.807934 ; res2=-0.371046
res1=0.876515 ; res2=-0.115791
res1=0.86669 ; res2=0.448247
res1=0.37246 ; res2=0.581576
res1=1.07452 ; res2=0.52892
res1=0.166799 ; res2=-0.117603
res1=0.641263 ; res2=-0.115849
res1=0.362622 ; res2=-0.438305
res1=0.749582 ; res2=0.928275
res1=0.424535 ; res2=0.104793
res1=0.378758 ; res2=-0.267172
res1=0.804886 ; res2=0.00542776
res1=0.703417 ; res2=0.850218
res1=0.730919 ; res2=0.17756
res1=0.550094 ; res2=-0.232251
res1=0.545169 ; res2=0.899962
res1=0.55237 ; res2=0.593685
res1=1.0102 ; res2=0.601922
res1=1.09432 ; res2=0.694748
res1=0.657196 ; res2=0.134821
res1=0.286995 ; res2=-0.382304
res1=0.184138 ; res2=-0.439447
res1=0.902102 ; res2=0.387059
res1=1.08698 ; res2=0.48086
res1=1.10811 ; res2=0.676844
res1=1.0816 ; res2=0.754218
res1=0.420414 ; res2=0.110438
res1=0.340166 ; res2=-0.231079
res1=0.991406 ; res2=-0.0140095
res1=1.07696 ; res2=0.750275
res1=0.488608 ; res2=0.212129
res1=0.366455 ; res2=0.109326
res1=0.948428 ; res2=0.786124
res1=1.07347 ; res2=0.886447
res1=0.803591 ; res2=0.0871562
res1=0.992822 ; res2=0.541292
res1=0.91913 ; res2=0.42596
res1=0.598782 ; res2=-0.453157
res1=0.853976 ; res2=0.52659
res1=0.950091 ; res2=0.0258021
res1=0.34985 ; res2=0.0461599
res1=1.0499 ; res2=0.736133
res1=0.997537 ; res2=0.786568
res1=0.337368 ; res2=0.332802
res1=0.761837 ; res2=-0.436262
res1=0.981392 ; res2=0.445884
res1=0.749708 ; res2=0.379959
res1=0.955644 ; res2=0.60609
res1=0.54551 ; res2=-0.150013
res1=0.803533 ; res2=0.346879
res1=1.0531 ; res2=0.659433
res1=1.03759 ; res2=0.779064
res1=1.06848 ; res2=0.79632
res1=1.07262 ; res2=0.886272
res1=0.580403 ; res2=-0.0137645
res1=0.802949 ; res2=0.28685
res1=0.725154 ; res2=-0.276204
res1=0.441182 ; res2=0.458944
res1=0.90118 ; res2=0.519293
res1=0.532651 ; res2=0.124998
res1=0.586188 ; res2=0.425122
res1=0.544712 ; res2=0.815708
res1=0.943823 ; res2=0.435442
res1=0.0663599 ; res2=-0.188646
res1=0.30041 ; res2=-0.201555
res1=0.912788 ; res2=0.499402
res1=1.06505 ; res2=0.77248
res1=1.00458 ; res2=0.821588
res1=0.760964 ; res2=0.826353
res1=0.708217 ; res2=0.113307
res1=0.129493 ; res2=-0.277111
res1=0.73906 ; res2=0.256202
res1=-0.000545457 ; res2=-0.231303
res1=0.20131 ; res2=-0.190433
res1=0.733758 ; res2=0.247836
res1=0.465229 ; res2=0.168523
res1=0.33177 ; res2=0.0644288
res1=0.987702 ; res2=0.608197
res1=0.847717 ; res2=0.417277
res1=1.01064 ; res2=0.528782
res1=1.0403 ; res2=0.649916
res1=0.413737 ; res2=0.620294
res1=0.492344 ; res2=-0.30567
res1=0.592969 ; res2=-0.328994
res1=0.730049 ; res2=-0.0629631
res1=0.663992 ; res2=0.150658
res1=0.856121 ; res2=0.808711
res1=0.571073 ; res2=0.286675
res1=0.414076 ; res2=0.28511
res1=0.576237 ; res2=0.314812
res1=0.759118 ; res2=0.256475
res1=1.05667 ; res2=0.690454
res1=0.461174 ; res2=-0.147549
res1=0.532134 ; res2=-0.0907363
res1=0.235925 ; res2=0.0402735
res1=0.519618 ; res2=-0.0400035
res1=0.83719 ; res2=-0.183237
res1=0.0252274 ; res2=-0.0623565
res1=0.280416 ; res2=-0.377511
res1=0.712974 ; res2=0.149732
res1=0.269979 ; res2=0.0879567
res1=0.652525 ; res2=0.11192
res1=0.792234 ; res2=0.22071
res1=0.96292 ; res2=-0.365287
res1=0.724264 ; res2=-0.326949
res1=0.830548 ; res2=0.364883
res1=-0.0147613 ; res2=-0.476315
res1=0.136311 ; res2=-0.354035
res1=0.594671 ; res2=0.0833818
res1=0.77624 ; res2=0.0497279
res1=0.191729 ; res2=0.884959
res1=0.666279 ; res2=0.150801
res1=0.634337 ; res2=0.105641
res1=0.29841 ; res2=-0.268853
res1=0.294481 ; res2=-0.199895
res1=0.974197 ; res2=0.422983
res1=0.0814651 ; res2=-0.0153595
res1=0.508423 ; res2=-0.290387
